,State,Year,Quarter,District,Transaction_count,Transaction_amount,Transaction_Type
0,Andaman & Nicobar,2018,1,south andaman,5688,12560249.343665812,TOTAL
1,Andaman & Nicobar,2018,1,nicobars,528,1139848.801225994,TOTAL
2,Andaman & Nicobar,2018,1,north and middle andaman,442,931663.0770939873,TOTAL
3,Andaman & Nicobar,2018,2,south andaman,9395,23948235.51634325,TOTAL
4,Andaman & Nicobar,2018,2,nicobars,1120,3072436.9081196385,TOTAL
5,Andaman & Nicobar,2018,2,north and middle andaman,825,1317863.0834906558,TOTAL
6,Andaman & Nicobar,2018,3,south andaman,13511,44268112.46425246,TOTAL
7,Andaman & Nicobar,2018,3,nicobars,1471,6387829.151558982,TOTAL
8,Andaman & Nicobar,2018,3,north and middle andaman,1283,4901529.518499676,TOTAL
9,Andaman & Nicobar,2018,4,south andaman,20136,75411840.8018554,TOTAL
10,Andaman & Nicobar,2018,4,north and middle andaman,2137,7955635.917688001,TOTAL
11,Andaman & Nicobar,2018,4,nicobars,1485,7180859.354911782,TOTAL
12,Andaman & Nicobar,2019,1,south andaman,25683,85501972.38780196,TOTAL
13,Andaman & Nicobar,2019,1,north and middle andaman,3264,9561708.736298349,TOTAL
14,Andaman & Nicobar,2019,1,nicobars,1539,7236059.549389593,TOTAL
15,Andaman & Nicobar,2019,2,south andaman,28490,102530955.71341258,TOTAL
16,Andaman & Nicobar,2019,2,north and middle andaman,3371,8612103.13788812,TOTAL
17,Andaman & Nicobar,2019,2,nicobars,1828,9111650.82436246,TOTAL
18,Andaman & Nicobar,2019,3,south andaman,27421,91023888.32848613,TOTAL
19,Andaman & Nicobar,2019,3,north and middle andaman,4049,11481466.283356791,TOTAL
20,Andaman & Nicobar,2019,3,nicobars,2300,11566421.475451011,TOTAL
21,Andaman & Nicobar,2019,4,south andaman,27843,110930312.20611623,TOTAL
22,Andaman & Nicobar,2019,4,north and middle andaman,4716,13524056.784573946,TOTAL
23,Andaman & Nicobar,2019,4,nicobars,2600,12384161.52668771,TOTAL
24,Andaman & Nicobar,2020,1,south andaman,32713,134679396.90582758,TOTAL
25,Andaman & Nicobar,2020,1,north and middle andaman,5674,14697371.617857102,TOTAL
26,Andaman & Nicobar,2020,1,nicobars,2911,12099543.773590053,TOTAL
27,Andaman & Nicobar,2020,2,south andaman,48088,132855778.74838585,TOTAL
28,Andaman & Nicobar,2020,2,north and middle andaman,10979,22447714.061058953,TOTAL
29,Andaman & Nicobar,2020,2,nicobars,3895,14341508.60470232,TOTAL
30,Andaman & Nicobar,2020,3,south andaman,95323,282366109.20523936,TOTAL
31,Andaman & Nicobar,2020,3,north and middle andaman,16747,33486883.37042556,TOTAL
32,Andaman & Nicobar,2020,3,nicobars,5413,22166453.754695382,TOTAL
33,Andaman & Nicobar,2020,4,south andaman,186494,523122462.883029,TOTAL
34,Andaman & Nicobar,2020,4,north and middle andaman,29349,68941322.38839513,TOTAL
35,Andaman & Nicobar,2020,4,nicobars,8688,35218871.04342848,TOTAL
36,Andaman & Nicobar,2021,1,south andaman,207092,669604045.1248703,TOTAL
37,Andaman & Nicobar,2021,1,north and middle andaman,27358,75027255.27919498,TOTAL
38,Andaman & Nicobar,2021,1,nicobars,10302,39075266.9856904,TOTAL
39,Andaman & Nicobar,2021,2,south andaman,286907,760893020.5704947,TOTAL
40,Andaman & Nicobar,2021,2,north and middle andaman,39200,90233388.79463303,TOTAL
41,Andaman & Nicobar,2021,2,nicobars,15307,48020606.74716838,TOTAL
42,Andaman & Nicobar,2021,3,south andaman,382418,1116789010.6459613,TOTAL
43,Andaman & Nicobar,2021,3,north and middle andaman,46592,118254865.82750683,TOTAL
44,Andaman & Nicobar,2021,3,nicobars,20754,74980519.32813609,TOTAL
45,Andaman & Nicobar,2021,4,south andaman,558571,1694794708.0093331,TOTAL
46,Andaman & Nicobar,2021,4,north and middle andaman,53115,156486112.28732437,TOTAL
47,Andaman & Nicobar,2021,4,nicobars,24437,81329281.0269996,TOTAL
48,Andaman & Nicobar,2022,1,south andaman,705512,1872991195.902684,TOTAL
49,Andaman & Nicobar,2022,1,north and middle andaman,60059,161624878.52274162,TOTAL
50,Andaman & Nicobar,2022,1,nicobars,29177,94414127.64974089,TOTAL
51,Andaman & Nicobar,2022,2,south andaman,954875,2357326563.362071,TOTAL
52,Andaman & Nicobar,2022,2,north and middle andaman,72573,195693167.78757268,TOTAL
53,Andaman & Nicobar,2022,2,nicobars,43769,132900618.93062323,TOTAL
54,Andaman & Nicobar,2022,3,south andaman,1455255,2967719400.8499093,TOTAL
55,Andaman & Nicobar,2022,3,north and middle andaman,79574,211581970.34202653,TOTAL
56,Andaman & Nicobar,2022,3,nicobars,49550,131330400.94545083,TOTAL
57,Andaman & Nicobar,2022,4,south andaman,1835592,3600887266.099448,TOTAL
58,Andaman & Nicobar,2022,4,north and middle andaman,93297,241431284.35581034,TOTAL
59,Andaman & Nicobar,2022,4,nicobars,58646,142355853.97352523,TOTAL
60,Andhra Pradesh,2018,1,visakhapatnam,1256469,1749966196.5049949,TOTAL
61,Andhra Pradesh,2018,1,east godavari,943935,1235785515.5997267,TOTAL
62,Andhra Pradesh,2018,1,krishna,863935,1284255179.6156201,TOTAL
63,Andhra Pradesh,2018,1,chittoor,830324,1009621878.0870512,TOTAL
64,Andhra Pradesh,2018,1,guntur,815932,1108686589.0266826,TOTAL
65,Andhra Pradesh,2018,1,kurnool,679623,764905298.7350456,TOTAL
66,Andhra Pradesh,2018,1,anantapur,638664,788830646.0324218,TOTAL
67,Andhra Pradesh,2018,1,west godavari,577090,853547668.7532666,TOTAL
68,Andhra Pradesh,2018,1,prakasam,534757,748990775.8676486,TOTAL
69,Andhra Pradesh,2018,1,spsr nellore,531612,676643237.8069417,TOTAL
70,Andhra Pradesh,2018,2,visakhapatnam,1641192,2987853607.2939095,TOTAL
71,Andhra Pradesh,2018,2,krishna,1224987,2448141593.4919834,TOTAL
72,Andhra Pradesh,2018,2,east godavari,1221677,2168914928.4239016,TOTAL
73,Andhra Pradesh,2018,2,chittoor,1185723,1990419125.8937118,TOTAL
74,Andhra Pradesh,2018,2,guntur,1088101,2108475811.785997,TOTAL
75,Andhra Pradesh,2018,2,kurnool,968439,1531888665.6843233,TOTAL
76,Andhra Pradesh,2018,2,anantapur,937023,1690366079.0557928,TOTAL
77,Andhra Pradesh,2018,2,west godavari,786033,1688025212.3045943,TOTAL
78,Andhra Pradesh,2018,2,spsr nellore,780454,1542057934.0108962,TOTAL
79,Andhra Pradesh,2018,2,prakasam,739991,1571167562.1276274,TOTAL
80,Andhra Pradesh,2018,3,visakhapatnam,3394576,4821892253.393524,TOTAL
81,Andhra Pradesh,2018,3,east godavari,3226907,3551247095.3074465,TOTAL
82,Andhra Pradesh,2018,3,kurnool,2921189,2908389261.5397735,TOTAL
83,Andhra Pradesh,2018,3,krishna,2396934,3754202654.3844614,TOTAL
84,Andhra Pradesh,2018,3,chittoor,2297429,3283517630.720593,TOTAL
85,Andhra Pradesh,2018,3,guntur,1912529,3127764663.180438,TOTAL
86,Andhra Pradesh,2018,3,anantapur,1815215,2681787750.464165,TOTAL
87,Andhra Pradesh,2018,3,ysr,1557444,2235904512.2542048,TOTAL
88,Andhra Pradesh,2018,3,west godavari,1431282,2309078492.805815,TOTAL
89,Andhra Pradesh,2018,3,prakasam,1319651,2346453445.4838424,TOTAL
90,Andhra Pradesh,2018,4,visakhapatnam,4791421,7366635864.849373,TOTAL
91,Andhra Pradesh,2018,4,chittoor,3166201,4979093890.223491,TOTAL
92,Andhra Pradesh,2018,4,east godavari,3052762,4652624623.436675,TOTAL
93,Andhra Pradesh,2018,4,krishna,2839161,5416251838.130407,TOTAL
94,Andhra Pradesh,2018,4,guntur,2546620,4730251217.696959,TOTAL
95,Andhra Pradesh,2018,4,kurnool,2508530,3626544852.4069242,TOTAL
96,Andhra Pradesh,2018,4,anantapur,2286391,3975878156.329829,TOTAL
97,Andhra Pradesh,2018,4,spsr nellore,1814997,3293448556.973445,TOTAL
98,Andhra Pradesh,2018,4,ysr,1732527,3252340063.2478595,TOTAL
99,Andhra Pradesh,2018,4,prakasam,1692862,3255254226.03728,TOTAL
100,Andhra Pradesh,2019,1,visakhapatnam,9690866,13459857440.552685,TOTAL
101,Andhra Pradesh,2019,1,chittoor,6486813,8223371732.233585,TOTAL
102,Andhra Pradesh,2019,1,krishna,5443981,9061346433.072681,TOTAL
103,Andhra Pradesh,2019,1,east godavari,5440146,7382264724.59952,TOTAL
104,Andhra Pradesh,2019,1,guntur,4846553,7765934169.404485,TOTAL
105,Andhra Pradesh,2019,1,kurnool,4193432,5541564892.509682,TOTAL
106,Andhra Pradesh,2019,1,anantapur,3891336,6044730653.191345,TOTAL
107,Andhra Pradesh,2019,1,spsr nellore,3333584,5161932216.216368,TOTAL
108,Andhra Pradesh,2019,1,prakasam,2931081,4807527779.215151,TOTAL
109,Andhra Pradesh,2019,1,ysr,2852197,4915811593.896078,TOTAL
110,Andhra Pradesh,2019,2,visakhapatnam,11705738,20797479804.029076,TOTAL
111,Andhra Pradesh,2019,2,krishna,6428472,13437029115.620754,TOTAL
112,Andhra Pradesh,2019,2,chittoor,5983308,10982727976.224325,TOTAL
113,Andhra Pradesh,2019,2,guntur,5005275,10405246943.481495,TOTAL
114,Andhra Pradesh,2019,2,east godavari,4699261,9116404622.47651,TOTAL
115,Andhra Pradesh,2019,2,kurnool,3895824,7358285187.018034,TOTAL
116,Andhra Pradesh,2019,2,anantapur,3578836,7830782361.3776655,TOTAL
117,Andhra Pradesh,2019,2,spsr nellore,3141891,6880873007.4820595,TOTAL
118,Andhra Pradesh,2019,2,prakasam,2670529,6262396448.455348,TOTAL
119,Andhra Pradesh,2019,2,ysr,2606284,6376856828.130632,TOTAL
120,Andhra Pradesh,2019,3,visakhapatnam,16694947,26944837120.046288,TOTAL
121,Andhra Pradesh,2019,3,krishna,8408474,16404073560.500784,TOTAL
122,Andhra Pradesh,2019,3,chittoor,8201783,13837455758.755266,TOTAL
123,Andhra Pradesh,2019,3,guntur,6942304,13075661264.188034,TOTAL
124,Andhra Pradesh,2019,3,east godavari,6537303,11387726470.57774,TOTAL
125,Andhra Pradesh,2019,3,kurnool,5139134,9025632779.412457,TOTAL
126,Andhra Pradesh,2019,3,anantapur,4889720,9554081289.488277,TOTAL
127,Andhra Pradesh,2019,3,spsr nellore,4150195,8256600118.735449,TOTAL
128,Andhra Pradesh,2019,3,prakasam,3430750,7354502261.150911,TOTAL
129,Andhra Pradesh,2019,3,ysr,3296586,7447544274.2117815,TOTAL
130,Andhra Pradesh,2019,4,visakhapatnam,23594874,39133296330.04462,TOTAL
131,Andhra Pradesh,2019,4,krishna,11719402,23039786404.046635,TOTAL
132,Andhra Pradesh,2019,4,chittoor,11246986,19298476027.875484,TOTAL
133,Andhra Pradesh,2019,4,guntur,9761330,18565626418.035915,TOTAL
134,Andhra Pradesh,2019,4,east godavari,9285739,16816774065.301317,TOTAL
135,Andhra Pradesh,2019,4,kurnool,7001958,13233105728.54823,TOTAL
136,Andhra Pradesh,2019,4,anantapur,6764112,13887248889.064064,TOTAL
137,Andhra Pradesh,2019,4,spsr nellore,5877804,11786014089.194025,TOTAL
138,Andhra Pradesh,2019,4,prakasam,4865473,10604077824.801035,TOTAL
139,Andhra Pradesh,2019,4,ysr,4793157,10865073855.730782,TOTAL
140,Andhra Pradesh,2020,1,visakhapatnam,27115031,48809747614.678894,TOTAL
141,Andhra Pradesh,2020,1,chittoor,13257740,23441848567.344193,TOTAL
142,Andhra Pradesh,2020,1,krishna,12175289,24481702770.714714,TOTAL
143,Andhra Pradesh,2020,1,guntur,11493331,22992734620.64621,TOTAL
144,Andhra Pradesh,2020,1,east godavari,11346242,21854701379.428688,TOTAL
145,Andhra Pradesh,2020,1,anantapur,8466129,17864325752.82528,TOTAL
146,Andhra Pradesh,2020,1,kurnool,8246869,17022710311.813044,TOTAL
147,Andhra Pradesh,2020,1,spsr nellore,7430247,15387829694.446861,TOTAL
148,Andhra Pradesh,2020,1,prakasam,6318396,14169104764.526735,TOTAL
149,Andhra Pradesh,2020,1,ysr,6031255,14059924636.819914,TOTAL
150,Andhra Pradesh,2020,2,visakhapatnam,25300401,48293889917.41437,TOTAL
151,Andhra Pradesh,2020,2,chittoor,14848197,27361300300.01902,TOTAL
152,Andhra Pradesh,2020,2,east godavari,13130334,26319906327.32029,TOTAL
153,Andhra Pradesh,2020,2,krishna,12313709,26964149095.36629,TOTAL
154,Andhra Pradesh,2020,2,guntur,12308707,27463593607.83911,TOTAL
155,Andhra Pradesh,2020,2,anantapur,10473739,22094006659.412506,TOTAL
156,Andhra Pradesh,2020,2,kurnool,9821381,22419372061.805172,TOTAL
157,Andhra Pradesh,2020,2,spsr nellore,9454274,20665376460.772232,TOTAL
158,Andhra Pradesh,2020,2,prakasam,8844580,19846026726.90433,TOTAL
159,Andhra Pradesh,2020,2,ysr,8033609,19597207268.132023,TOTAL
160,Andhra Pradesh,2020,3,visakhapatnam,34421299,67628440368.111465,TOTAL
161,Andhra Pradesh,2020,3,chittoor,20501863,42811566246.16463,TOTAL
162,Andhra Pradesh,2020,3,krishna,19110457,44788458672.084435,TOTAL
163,Andhra Pradesh,2020,3,east godavari,17972431,39300043804.75851,TOTAL
164,Andhra Pradesh,2020,3,guntur,17601395,42531195809.75448,TOTAL
165,Andhra Pradesh,2020,3,spsr nellore,16468209,39128324534.03021,TOTAL
166,Andhra Pradesh,2020,3,anantapur,14447683,34102037972.657852,TOTAL
167,Andhra Pradesh,2020,3,kurnool,13243292,32529351107.17173,TOTAL
168,Andhra Pradesh,2020,3,prakasam,12266310,31221704852.44969,TOTAL
169,Andhra Pradesh,2020,3,ysr,11934653,32037007334.12973,TOTAL
170,Andhra Pradesh,2020,4,visakhapatnam,46551467,91879823025.40399,TOTAL
171,Andhra Pradesh,2020,4,chittoor,29590411,61505711149.79541,TOTAL
172,Andhra Pradesh,2020,4,krishna,27981050,64461504667.60722,TOTAL
173,Andhra Pradesh,2020,4,guntur,26136538,60641872021.25432,TOTAL
174,Andhra Pradesh,2020,4,east godavari,25989490,58732615663.11841,TOTAL
175,Andhra Pradesh,2020,4,anantapur,20996384,49732610814.26222,TOTAL
176,Andhra Pradesh,2020,4,spsr nellore,20934374,49115443663.37911,TOTAL
177,Andhra Pradesh,2020,4,kurnool,18737323,44718203115.22612,TOTAL
178,Andhra Pradesh,2020,4,prakasam,16176867,41852443493.515396,TOTAL
179,Andhra Pradesh,2020,4,ysr,15676878,42572974713.440254,TOTAL
180,Andhra Pradesh,2021,1,visakhapatnam,48248923,95308386037.84721,TOTAL
181,Andhra Pradesh,2021,1,krishna,29717175,69715406644.53484,TOTAL
182,Andhra Pradesh,2021,1,chittoor,29342609,60947491846.66088,TOTAL
183,Andhra Pradesh,2021,1,guntur,27445045,64207987853.108406,TOTAL
184,Andhra Pradesh,2021,1,east godavari,26190701,60027984987.96951,TOTAL
185,Andhra Pradesh,2021,1,spsr nellore,22541428,52210333201.53073,TOTAL
186,Andhra Pradesh,2021,1,anantapur,20102957,48353870395.01808,TOTAL
187,Andhra Pradesh,2021,1,kurnool,17918524,44941629659.56964,TOTAL
188,Andhra Pradesh,2021,1,west godavari,16015685,42124030669.36127,TOTAL
189,Andhra Pradesh,2021,1,ysr,15374473,42570919448.50447,TOTAL
190,Andhra Pradesh,2021,2,visakhapatnam,54390299,114439012713.35336,TOTAL
191,Andhra Pradesh,2021,2,krishna,36370960,90021923049.96454,TOTAL
192,Andhra Pradesh,2021,2,chittoor,34344902,73654690122.43158,TOTAL
193,Andhra Pradesh,2021,2,guntur,32968819,82356914463.83287,TOTAL
194,Andhra Pradesh,2021,2,east godavari,31717908,74604325863.66068,TOTAL
195,Andhra Pradesh,2021,2,spsr nellore,30290406,72283071757.09679,TOTAL
196,Andhra Pradesh,2021,2,anantapur,25123346,60987487571.27992,TOTAL
197,Andhra Pradesh,2021,2,kurnool,21972396,56659287474.995804,TOTAL
198,Andhra Pradesh,2021,2,west godavari,20950964,57233116236.18796,TOTAL
199,Andhra Pradesh,2021,2,prakasam,19944047,54535328043.04135,TOTAL
200,Andhra Pradesh,2021,3,visakhapatnam,69220981,136945652159.26517,TOTAL
201,Andhra Pradesh,2021,3,krishna,44828275,104417897558.58972,TOTAL
202,Andhra Pradesh,2021,3,chittoor,42628568,89371931753.04831,TOTAL
203,Andhra Pradesh,2021,3,guntur,41675093,96525353090.12305,TOTAL
204,Andhra Pradesh,2021,3,east godavari,39572714,89380370072.7078,TOTAL
205,Andhra Pradesh,2021,3,spsr nellore,34411958,77839676988.30869,TOTAL
206,Andhra Pradesh,2021,3,anantapur,30366444,70291248155.64975,TOTAL
207,Andhra Pradesh,2021,3,kurnool,26377809,62527453761.59807,TOTAL
208,Andhra Pradesh,2021,3,west godavari,26245039,66647238455.1675,TOTAL
209,Andhra Pradesh,2021,3,prakasam,24116580,63367713446.928055,TOTAL
210,Andhra Pradesh,2021,4,visakhapatnam,82711538,159530099772.73474,TOTAL
211,Andhra Pradesh,2021,4,krishna,55489829,125015323207.89836,TOTAL
212,Andhra Pradesh,2021,4,chittoor,51119640,103985734663.73514,TOTAL
213,Andhra Pradesh,2021,4,guntur,50919286,115553993673.17336,TOTAL
214,Andhra Pradesh,2021,4,east godavari,48992531,106725597026.00357,TOTAL
215,Andhra Pradesh,2021,4,spsr nellore,41921081,92256405076.26547,TOTAL
216,Andhra Pradesh,2021,4,anantapur,36129136,81239787006.64764,TOTAL
217,Andhra Pradesh,2021,4,west godavari,33235175,81292461575.08183,TOTAL
218,Andhra Pradesh,2021,4,kurnool,31782248,73968947669.64754,TOTAL
219,Andhra Pradesh,2021,4,prakasam,27858275,71323060008.47623,TOTAL
220,Andhra Pradesh,2022,1,visakhapatnam,88233362,170120350591.26004,TOTAL
221,Andhra Pradesh,2022,1,krishna,61826199,139690081529.49048,TOTAL
222,Andhra Pradesh,2022,1,chittoor,58561024,117900595508.63399,TOTAL
223,Andhra Pradesh,2022,1,guntur,57226996,129673727687.08943,TOTAL
224,Andhra Pradesh,2022,1,east godavari,54738830,121067103712.79568,TOTAL
225,Andhra Pradesh,2022,1,spsr nellore,47645702,104895571602.13988,TOTAL
226,Andhra Pradesh,2022,1,anantapur,40613148,90197023268.43825,TOTAL
227,Andhra Pradesh,2022,1,west godavari,37271259,92397939903.60936,TOTAL
228,Andhra Pradesh,2022,1,kurnool,35093633,81568420500.54747,TOTAL
229,Andhra Pradesh,2022,1,prakasam,31340975,79494373254.71565,TOTAL
230,Andhra Pradesh,2022,2,visakhapatnam,101387402,193242841582.14282,TOTAL
231,Andhra Pradesh,2022,2,krishna,73525814,163997729295.93127,TOTAL
232,Andhra Pradesh,2022,2,chittoor,67507661,136435445124.75615,TOTAL
233,Andhra Pradesh,2022,2,guntur,66315749,147098141568.76227,TOTAL
234,Andhra Pradesh,2022,2,east godavari,62072845,135531452997.6391,TOTAL
235,Andhra Pradesh,2022,2,spsr nellore,54838708,121941082043.49483,TOTAL
236,Andhra Pradesh,2022,2,anantapur,46099366,102138758015.76915,TOTAL
237,Andhra Pradesh,2022,2,west godavari,44409239,107973244960.42824,TOTAL
238,Andhra Pradesh,2022,2,kurnool,40165692,92409350855.502,TOTAL
239,Andhra Pradesh,2022,2,prakasam,36163507,90435082545.97768,TOTAL
240,Andhra Pradesh,2022,3,visakhapatnam,97434546,181124419863.61444,TOTAL
241,Andhra Pradesh,2022,3,krishna,71051144,153770559025.69122,TOTAL
242,Andhra Pradesh,2022,3,chittoor,65751781,133053581631.63948,TOTAL
243,Andhra Pradesh,2022,3,guntur,65612317,141588522953.23773,TOTAL
244,Andhra Pradesh,2022,3,east godavari,61467134,129677722169.74829,TOTAL
245,Andhra Pradesh,2022,3,anantapur,45165363,97735649608.10074,TOTAL
246,Andhra Pradesh,2022,3,west godavari,43635951,101706854744.31876,TOTAL
