,State,Year,Quarter,Pincode,Transaction_count,Transaction_amount,Transaction_type
0,Andaman & Nicobar,2018,1,744101,1622,2769297.9039997994,TOTAL
1,Andaman & Nicobar,2018,1,744103,1223,2238041.8716124697,TOTAL
2,Andaman & Nicobar,2018,1,744102,969,3519059.937562449,TOTAL
3,Andaman & Nicobar,2018,1,744105,685,1298560.9515503529,TOTAL
4,Andaman & Nicobar,2018,1,744104,340,1039715.3111450541,TOTAL
5,Andaman & Nicobar,2018,1,744107,302,556059.5308556345,TOTAL
6,Andaman & Nicobar,2018,1,744301,283,445739.1633851439,TOTAL
7,Andaman & Nicobar,2018,1,744112,269,333709.56700413954,TOTAL
8,Andaman & Nicobar,2018,1,744202,193,238914.01667155625,TOTAL
9,Andaman & Nicobar,2018,1,744302,168,547469.6509380838,TOTAL
10,Andaman & Nicobar,2018,2,744101,2701,6310089.917084678,TOTAL
11,Andaman & Nicobar,2018,2,744103,1965,4752146.698501162,TOTAL
12,Andaman & Nicobar,2018,2,744102,1525,5810267.574788321,TOTAL
13,Andaman & Nicobar,2018,2,744105,997,2200332.971862734,TOTAL
14,Andaman & Nicobar,2018,2,744301,767,1953749.3787199226,TOTAL
15,Andaman & Nicobar,2018,2,744104,659,1650346.1906506256,TOTAL
16,Andaman & Nicobar,2018,2,744107,594,1601569.9821441039,TOTAL
17,Andaman & Nicobar,2018,2,744112,432,578829.1795229593,TOTAL
18,Andaman & Nicobar,2018,2,744202,405,626523.9803147907,TOTAL
19,Andaman & Nicobar,2018,2,744302,291,1026590.0735863491,TOTAL
20,Andaman & Nicobar,2018,3,744101,3462,10833893.444488766,TOTAL
21,Andaman & Nicobar,2018,3,744103,3182,10184154.358592123,TOTAL
22,Andaman & Nicobar,2018,3,744102,2224,10365275.479700703,TOTAL
23,Andaman & Nicobar,2018,3,744105,1613,5152534.080403434,TOTAL
24,Andaman & Nicobar,2018,3,744104,1029,2588077.6866583927,TOTAL
25,Andaman & Nicobar,2018,3,744301,975,4256576.349618757,TOTAL
26,Andaman & Nicobar,2018,3,744112,579,1145815.7801705198,TOTAL
27,Andaman & Nicobar,2018,3,744107,547,1492405.302862124,TOTAL
28,Andaman & Nicobar,2018,3,744302,417,1976781.9199490356,TOTAL
29,Andaman & Nicobar,2018,3,744202,341,2099404.0789861116,TOTAL
